armrest_numstrokes,backrest_numstrokes,beak_numstrokes,body_numstrokes,bumper_numstrokes,door_numstrokes,ear_numstrokes,eye_numstrokes,feet_numstrokes,head_numstrokes,headlight_numstrokes,hood_numstrokes,leg_numstrokes,mouth_numstrokes,neck_numstrokes,paw_numstrokes,seat_numstrokes,tail_numstrokes,trunk_numstrokes,unknown_numstrokes,wheel_numstrokes,window_numstrokes,windshield_numstrokes,wing_numstrokes,armrest_total_arclength,backrest_total_arclength,beak_total_arclength,body_total_arclength,bumper_total_arclength,door_total_arclength,ear_total_arclength,eye_total_arclength,feet_total_arclength,head_total_arclength,headlight_total_arclength,hood_total_arclength,leg_total_arclength,mouth_total_arclength,neck_total_arclength,paw_total_arclength,seat_total_arclength,tail_total_arclength,trunk_total_arclength,unknown_total_arclength,wheel_total_arclength,window_total_arclength,windshield_total_arclength,wing_total_arclength
0,0,1,9,0,0,0,2,2,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,84,2223,0,0,0,304,191,0,0,0,96,0,0,0,0,188,0,0,0,0,0,0
0,0,1,27,0,0,0,0,8,6,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,84,1680,0,0,0,0,214,476,0,0,0,0,0,0,0,304,0,0,0,0,0,0
0,0,0,12,0,0,0,0,2,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1428,0,0,0,0,53,0,0,0,126,0,0,0,0,76,0,0,0,0,0,0
0,0,1,9,0,0,0,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,68,1566,0,0,0,0,147,0,0,0,303,0,0,0,0,0,0,0,0,0,0,0
0,0,0,3,0,0,0,4,5,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,297,0,0,0,30,114,0,0,0,2238,0,0,0,0,0,0,0,0,0,0,0
0,0,0,6,0,0,0,0,4,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,741,0,0,0,0,91,0,0,0,213,0,0,0,0,1036,0,0,0,0,0,0
0,0,0,9,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2232,0,0,0,24,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,3,9,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,48,1035,0,0,0,0,115,322,0,0,0,0,0,0,0,0,0,0,0,0,0,617
0,0,0,6,0,0,0,2,7,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,2193,0,0,0,6,195,0,0,0,0,0,0,0,0,830,0,0,0,0,0,151
0,0,1,9,0,0,0,2,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,27,867,0,0,0,10,89,1058,0,0,0,0,0,0,0,0,0,0,0,0,0,162
0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1176,0,0,0,0,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,3,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,1347,0,0,0,50,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,6,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1488,0,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,3,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,4,0,0,0,1,0,0,0,1104,0,0,0,0,0,1464,0,0,162,0,0,0,0,0,0,816,0,0,0,265
0,0,1,3,0,0,0,4,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,17,798,0,0,0,128,63,0,0,0,0,0,0,0,0,756,0,0,0,0,0,90
