,sketch_id,stroke_id,label,stroke_num,condition,target
0,0075-ad14e50c-f328-451b-82b0-2a7d3b392127_15,0075-ad14e50c-f328-451b-82b0-2a7d3b392127_15_0,backrest,0,further,inlay
1,0075-ad14e50c-f328-451b-82b0-2a7d3b392127_15,0075-ad14e50c-f328-451b-82b0-2a7d3b392127_15_1,backrest,1,further,inlay
2,0075-ad14e50c-f328-451b-82b0-2a7d3b392127_15,0075-ad14e50c-f328-451b-82b0-2a7d3b392127_15_2,seat,2,further,inlay
3,0075-ad14e50c-f328-451b-82b0-2a7d3b392127_24,0075-ad14e50c-f328-451b-82b0-2a7d3b392127_24_0,backrest,0,further,waiting
4,0075-ad14e50c-f328-451b-82b0-2a7d3b392127_24,0075-ad14e50c-f328-451b-82b0-2a7d3b392127_24_1,backrest,1,further,waiting
5,0075-ad14e50c-f328-451b-82b0-2a7d3b392127_24,0075-ad14e50c-f328-451b-82b0-2a7d3b392127_24_2,seat,2,further,waiting
6,0075-ad14e50c-f328-451b-82b0-2a7d3b392127_30,0075-ad14e50c-f328-451b-82b0-2a7d3b392127_30_0,backrest,0,further,leather
7,0075-ad14e50c-f328-451b-82b0-2a7d3b392127_30,0075-ad14e50c-f328-451b-82b0-2a7d3b392127_30_1,backrest,1,further,leather
8,0075-ad14e50c-f328-451b-82b0-2a7d3b392127_30,0075-ad14e50c-f328-451b-82b0-2a7d3b392127_30_2,seat,2,further,leather
9,0075-ad14e50c-f328-451b-82b0-2a7d3b392127_31,0075-ad14e50c-f328-451b-82b0-2a7d3b392127_31_0,backrest,0,further,straight
10,0075-ad14e50c-f328-451b-82b0-2a7d3b392127_31,0075-ad14e50c-f328-451b-82b0-2a7d3b392127_31_1,backrest,1,further,straight
11,0075-ad14e50c-f328-451b-82b0-2a7d3b392127_31,0075-ad14e50c-f328-451b-82b0-2a7d3b392127_31_2,seat,2,further,straight
12,0152-6051cc20-5fbc-43f5-8ca3-08711b390cfc_17,0152-6051cc20-5fbc-43f5-8ca3-08711b390cfc_17_0,leg,0,closer,straight
13,0152-6051cc20-5fbc-43f5-8ca3-08711b390cfc_17,0152-6051cc20-5fbc-43f5-8ca3-08711b390cfc_17_1,backrest,1,closer,straight
14,0152-6051cc20-5fbc-43f5-8ca3-08711b390cfc_17,0152-6051cc20-5fbc-43f5-8ca3-08711b390cfc_17_2,backrest,2,closer,straight
15,0152-6051cc20-5fbc-43f5-8ca3-08711b390cfc_17,0152-6051cc20-5fbc-43f5-8ca3-08711b390cfc_17_3,backrest,3,closer,straight
16,0152-6051cc20-5fbc-43f5-8ca3-08711b390cfc_17,0152-6051cc20-5fbc-43f5-8ca3-08711b390cfc_17_4,backrest,4,closer,straight
17,0152-6051cc20-5fbc-43f5-8ca3-08711b390cfc_17,0152-6051cc20-5fbc-43f5-8ca3-08711b390cfc_17_5,seat,5,closer,straight
18,0152-6051cc20-5fbc-43f5-8ca3-08711b390cfc_17,0152-6051cc20-5fbc-43f5-8ca3-08711b390cfc_17_6,seat,6,closer,straight
19,0152-6051cc20-5fbc-43f5-8ca3-08711b390cfc_17,0152-6051cc20-5fbc-43f5-8ca3-08711b390cfc_17_7,seat,7,closer,straight
20,0152-6051cc20-5fbc-43f5-8ca3-08711b390cfc_17,0152-6051cc20-5fbc-43f5-8ca3-08711b390cfc_17_8,leg,8,closer,straight
21,0152-6051cc20-5fbc-43f5-8ca3-08711b390cfc_17,0152-6051cc20-5fbc-43f5-8ca3-08711b390cfc_17_9,seat,9,closer,straight
22,0152-6051cc20-5fbc-43f5-8ca3-08711b390cfc_17,0152-6051cc20-5fbc-43f5-8ca3-08711b390cfc_17_10,seat,10,closer,straight
23,0152-6051cc20-5fbc-43f5-8ca3-08711b390cfc_19,0152-6051cc20-5fbc-43f5-8ca3-08711b390cfc_19_0,backrest,0,closer,leather
24,0152-6051cc20-5fbc-43f5-8ca3-08711b390cfc_19,0152-6051cc20-5fbc-43f5-8ca3-08711b390cfc_19_1,leg,1,closer,leather
25,0152-6051cc20-5fbc-43f5-8ca3-08711b390cfc_19,0152-6051cc20-5fbc-43f5-8ca3-08711b390cfc_19_2,seat,2,closer,leather
26,0152-6051cc20-5fbc-43f5-8ca3-08711b390cfc_19,0152-6051cc20-5fbc-43f5-8ca3-08711b390cfc_19_3,seat,3,closer,leather
27,0152-6051cc20-5fbc-43f5-8ca3-08711b390cfc_19,0152-6051cc20-5fbc-43f5-8ca3-08711b390cfc_19_4,leg,4,closer,leather
28,0152-6051cc20-5fbc-43f5-8ca3-08711b390cfc_19,0152-6051cc20-5fbc-43f5-8ca3-08711b390cfc_19_5,armrest,5,closer,leather
29,0152-6051cc20-5fbc-43f5-8ca3-08711b390cfc_19,0152-6051cc20-5fbc-43f5-8ca3-08711b390cfc_19_6,leg,6,closer,leather
30,0152-6051cc20-5fbc-43f5-8ca3-08711b390cfc_19,0152-6051cc20-5fbc-43f5-8ca3-08711b390cfc_19_7,armrest,7,closer,leather
31,0152-6051cc20-5fbc-43f5-8ca3-08711b390cfc_19,0152-6051cc20-5fbc-43f5-8ca3-08711b390cfc_19_8,leg,8,closer,leather
32,0152-6051cc20-5fbc-43f5-8ca3-08711b390cfc_19,0152-6051cc20-5fbc-43f5-8ca3-08711b390cfc_19_9,leg,9,closer,leather
33,0152-6051cc20-5fbc-43f5-8ca3-08711b390cfc_19,0152-6051cc20-5fbc-43f5-8ca3-08711b390cfc_19_10,leg,10,closer,leather
34,0152-6051cc20-5fbc-43f5-8ca3-08711b390cfc_19,0152-6051cc20-5fbc-43f5-8ca3-08711b390cfc_19_11,leg,11,closer,leather
35,0152-6051cc20-5fbc-43f5-8ca3-08711b390cfc_28,0152-6051cc20-5fbc-43f5-8ca3-08711b390cfc_28_0,backrest,0,further,waiting
36,0152-6051cc20-5fbc-43f5-8ca3-08711b390cfc_28,0152-6051cc20-5fbc-43f5-8ca3-08711b390cfc_28_1,backrest,1,further,waiting
37,0152-6051cc20-5fbc-43f5-8ca3-08711b390cfc_28,0152-6051cc20-5fbc-43f5-8ca3-08711b390cfc_28_2,backrest,2,further,waiting
38,0152-6051cc20-5fbc-43f5-8ca3-08711b390cfc_28,0152-6051cc20-5fbc-43f5-8ca3-08711b390cfc_28_3,leg,3,further,waiting
39,0152-6051cc20-5fbc-43f5-8ca3-08711b390cfc_28,0152-6051cc20-5fbc-43f5-8ca3-08711b390cfc_28_4,leg,4,further,waiting
40,0152-6051cc20-5fbc-43f5-8ca3-08711b390cfc_28,0152-6051cc20-5fbc-43f5-8ca3-08711b390cfc_28_5,seat,5,further,waiting
41,0152-6051cc20-5fbc-43f5-8ca3-08711b390cfc_28,0152-6051cc20-5fbc-43f5-8ca3-08711b390cfc_28_6,armrest,6,further,waiting
42,0152-6051cc20-5fbc-43f5-8ca3-08711b390cfc_28,0152-6051cc20-5fbc-43f5-8ca3-08711b390cfc_28_7,armrest,7,further,waiting
43,0152-6051cc20-5fbc-43f5-8ca3-08711b390cfc_5,0152-6051cc20-5fbc-43f5-8ca3-08711b390cfc_5_0,leg,0,further,inlay
44,0152-6051cc20-5fbc-43f5-8ca3-08711b390cfc_5,0152-6051cc20-5fbc-43f5-8ca3-08711b390cfc_5_1,leg,1,further,inlay
45,0152-6051cc20-5fbc-43f5-8ca3-08711b390cfc_5,0152-6051cc20-5fbc-43f5-8ca3-08711b390cfc_5_2,leg,2,further,inlay
46,0152-6051cc20-5fbc-43f5-8ca3-08711b390cfc_5,0152-6051cc20-5fbc-43f5-8ca3-08711b390cfc_5_3,leg,3,further,inlay
47,0152-6051cc20-5fbc-43f5-8ca3-08711b390cfc_5,0152-6051cc20-5fbc-43f5-8ca3-08711b390cfc_5_4,seat,4,further,inlay
48,0152-6051cc20-5fbc-43f5-8ca3-08711b390cfc_5,0152-6051cc20-5fbc-43f5-8ca3-08711b390cfc_5_5,seat,5,further,inlay
49,0152-6051cc20-5fbc-43f5-8ca3-08711b390cfc_5,0152-6051cc20-5fbc-43f5-8ca3-08711b390cfc_5_6,seat,6,further,inlay
50,0152-6051cc20-5fbc-43f5-8ca3-08711b390cfc_5,0152-6051cc20-5fbc-43f5-8ca3-08711b390cfc_5_7,backrest,7,further,inlay
51,0152-6051cc20-5fbc-43f5-8ca3-08711b390cfc_5,0152-6051cc20-5fbc-43f5-8ca3-08711b390cfc_5_8,backrest,8,further,inlay
52,0152-6051cc20-5fbc-43f5-8ca3-08711b390cfc_5,0152-6051cc20-5fbc-43f5-8ca3-08711b390cfc_5_9,backrest,9,further,inlay
53,0152-6051cc20-5fbc-43f5-8ca3-08711b390cfc_5,0152-6051cc20-5fbc-43f5-8ca3-08711b390cfc_5_10,seat,10,further,inlay
54,0152-6051cc20-5fbc-43f5-8ca3-08711b390cfc_5,0152-6051cc20-5fbc-43f5-8ca3-08711b390cfc_5_11,backrest,11,further,inlay
55,0152-6051cc20-5fbc-43f5-8ca3-08711b390cfc_5,0152-6051cc20-5fbc-43f5-8ca3-08711b390cfc_5_12,backrest,12,further,inlay
56,0152-6051cc20-5fbc-43f5-8ca3-08711b390cfc_5,0152-6051cc20-5fbc-43f5-8ca3-08711b390cfc_5_13,backrest,13,further,inlay
57,0225-fd115f45-542e-4c76-9672-54e60295fc00_13,0225-fd115f45-542e-4c76-9672-54e60295fc00_13_0,leg,0,further,inlay
58,0225-fd115f45-542e-4c76-9672-54e60295fc00_13,0225-fd115f45-542e-4c76-9672-54e60295fc00_13_1,leg,1,further,inlay
59,0225-fd115f45-542e-4c76-9672-54e60295fc00_13,0225-fd115f45-542e-4c76-9672-54e60295fc00_13_2,leg,2,further,inlay
60,0225-fd115f45-542e-4c76-9672-54e60295fc00_13,0225-fd115f45-542e-4c76-9672-54e60295fc00_13_3,leg,3,further,inlay
61,0225-fd115f45-542e-4c76-9672-54e60295fc00_13,0225-fd115f45-542e-4c76-9672-54e60295fc00_13_4,seat,4,further,inlay
62,0225-fd115f45-542e-4c76-9672-54e60295fc00_13,0225-fd115f45-542e-4c76-9672-54e60295fc00_13_5,backrest,5,further,inlay
63,0225-fd115f45-542e-4c76-9672-54e60295fc00_17,0225-fd115f45-542e-4c76-9672-54e60295fc00_17_0,armrest,0,closer,leather
64,0225-fd115f45-542e-4c76-9672-54e60295fc00_17,0225-fd115f45-542e-4c76-9672-54e60295fc00_17_1,armrest,1,closer,leather
65,0225-fd115f45-542e-4c76-9672-54e60295fc00_17,0225-fd115f45-542e-4c76-9672-54e60295fc00_17_2,backrest,2,closer,leather
66,0225-fd115f45-542e-4c76-9672-54e60295fc00_17,0225-fd115f45-542e-4c76-9672-54e60295fc00_17_3,seat,3,closer,leather
67,0225-fd115f45-542e-4c76-9672-54e60295fc00_21,0225-fd115f45-542e-4c76-9672-54e60295fc00_21_0,leg,0,closer,straight
68,0225-fd115f45-542e-4c76-9672-54e60295fc00_21,0225-fd115f45-542e-4c76-9672-54e60295fc00_21_1,leg,1,closer,straight
69,0225-fd115f45-542e-4c76-9672-54e60295fc00_21,0225-fd115f45-542e-4c76-9672-54e60295fc00_21_2,seat,2,closer,straight
70,0225-fd115f45-542e-4c76-9672-54e60295fc00_21,0225-fd115f45-542e-4c76-9672-54e60295fc00_21_3,leg,3,closer,straight
71,0225-fd115f45-542e-4c76-9672-54e60295fc00_21,0225-fd115f45-542e-4c76-9672-54e60295fc00_21_4,leg,4,closer,straight
72,0225-fd115f45-542e-4c76-9672-54e60295fc00_21,0225-fd115f45-542e-4c76-9672-54e60295fc00_21_5,leg,5,closer,straight
73,0225-fd115f45-542e-4c76-9672-54e60295fc00_21,0225-fd115f45-542e-4c76-9672-54e60295fc00_21_6,backrest,6,closer,straight
74,0225-fd115f45-542e-4c76-9672-54e60295fc00_21,0225-fd115f45-542e-4c76-9672-54e60295fc00_21_7,backrest,7,closer,straight
75,0225-fd115f45-542e-4c76-9672-54e60295fc00_21,0225-fd115f45-542e-4c76-9672-54e60295fc00_21_8,backrest,8,closer,straight
76,0225-fd115f45-542e-4c76-9672-54e60295fc00_25,0225-fd115f45-542e-4c76-9672-54e60295fc00_25_0,armrest,0,closer,waiting
77,0225-fd115f45-542e-4c76-9672-54e60295fc00_25,0225-fd115f45-542e-4c76-9672-54e60295fc00_25_1,armrest,1,closer,waiting
78,0225-fd115f45-542e-4c76-9672-54e60295fc00_25,0225-fd115f45-542e-4c76-9672-54e60295fc00_25_2,leg,2,closer,waiting
79,0225-fd115f45-542e-4c76-9672-54e60295fc00_25,0225-fd115f45-542e-4c76-9672-54e60295fc00_25_3,leg,3,closer,waiting
80,0225-fd115f45-542e-4c76-9672-54e60295fc00_25,0225-fd115f45-542e-4c76-9672-54e60295fc00_25_4,seat,4,closer,waiting
81,0225-fd115f45-542e-4c76-9672-54e60295fc00_25,0225-fd115f45-542e-4c76-9672-54e60295fc00_25_5,backrest,5,closer,waiting
82,0303-238b7c04-aff2-417c-b7ab-895bcb3d54b9_26,0303-238b7c04-aff2-417c-b7ab-895bcb3d54b9_26_0,backrest,0,closer,inlay
83,0303-238b7c04-aff2-417c-b7ab-895bcb3d54b9_26,0303-238b7c04-aff2-417c-b7ab-895bcb3d54b9_26_1,backrest,1,closer,inlay
84,0303-238b7c04-aff2-417c-b7ab-895bcb3d54b9_26,0303-238b7c04-aff2-417c-b7ab-895bcb3d54b9_26_2,backrest,2,closer,inlay
85,0303-238b7c04-aff2-417c-b7ab-895bcb3d54b9_26,0303-238b7c04-aff2-417c-b7ab-895bcb3d54b9_26_3,backrest,3,closer,inlay
86,0303-238b7c04-aff2-417c-b7ab-895bcb3d54b9_26,0303-238b7c04-aff2-417c-b7ab-895bcb3d54b9_26_4,backrest,4,closer,inlay
87,0303-238b7c04-aff2-417c-b7ab-895bcb3d54b9_26,0303-238b7c04-aff2-417c-b7ab-895bcb3d54b9_26_5,seat,5,closer,inlay
88,0303-238b7c04-aff2-417c-b7ab-895bcb3d54b9_26,0303-238b7c04-aff2-417c-b7ab-895bcb3d54b9_26_6,leg,6,closer,inlay
89,0303-238b7c04-aff2-417c-b7ab-895bcb3d54b9_26,0303-238b7c04-aff2-417c-b7ab-895bcb3d54b9_26_7,leg,7,closer,inlay
90,0303-238b7c04-aff2-417c-b7ab-895bcb3d54b9_26,0303-238b7c04-aff2-417c-b7ab-895bcb3d54b9_26_8,leg,8,closer,inlay
91,0303-238b7c04-aff2-417c-b7ab-895bcb3d54b9_26,0303-238b7c04-aff2-417c-b7ab-895bcb3d54b9_26_9,leg,9,closer,inlay
92,0303-238b7c04-aff2-417c-b7ab-895bcb3d54b9_26,0303-238b7c04-aff2-417c-b7ab-895bcb3d54b9_26_10,leg,10,closer,inlay
93,0303-238b7c04-aff2-417c-b7ab-895bcb3d54b9_26,0303-238b7c04-aff2-417c-b7ab-895bcb3d54b9_26_11,leg,11,closer,inlay
94,0303-238b7c04-aff2-417c-b7ab-895bcb3d54b9_26,0303-238b7c04-aff2-417c-b7ab-895bcb3d54b9_26_12,leg,12,closer,inlay
95,0303-238b7c04-aff2-417c-b7ab-895bcb3d54b9_26,0303-238b7c04-aff2-417c-b7ab-895bcb3d54b9_26_13,leg,13,closer,inlay
96,0303-238b7c04-aff2-417c-b7ab-895bcb3d54b9_26,0303-238b7c04-aff2-417c-b7ab-895bcb3d54b9_26_14,leg,14,closer,inlay
97,0303-238b7c04-aff2-417c-b7ab-895bcb3d54b9_26,0303-238b7c04-aff2-417c-b7ab-895bcb3d54b9_26_15,leg,15,closer,inlay
98,0303-238b7c04-aff2-417c-b7ab-895bcb3d54b9_27,0303-238b7c04-aff2-417c-b7ab-895bcb3d54b9_27_0,backrest,0,closer,waiting
99,0303-238b7c04-aff2-417c-b7ab-895bcb3d54b9_27,0303-238b7c04-aff2-417c-b7ab-895bcb3d54b9_27_1,backrest,1,closer,waiting
100,0303-238b7c04-aff2-417c-b7ab-895bcb3d54b9_27,0303-238b7c04-aff2-417c-b7ab-895bcb3d54b9_27_2,seat,2,closer,waiting
101,0303-238b7c04-aff2-417c-b7ab-895bcb3d54b9_27,0303-238b7c04-aff2-417c-b7ab-895bcb3d54b9_27_3,armrest,3,closer,waiting
102,0303-238b7c04-aff2-417c-b7ab-895bcb3d54b9_27,0303-238b7c04-aff2-417c-b7ab-895bcb3d54b9_27_4,armrest,4,closer,waiting
103,0303-238b7c04-aff2-417c-b7ab-895bcb3d54b9_27,0303-238b7c04-aff2-417c-b7ab-895bcb3d54b9_27_5,leg,5,closer,waiting
104,0303-238b7c04-aff2-417c-b7ab-895bcb3d54b9_27,0303-238b7c04-aff2-417c-b7ab-895bcb3d54b9_27_6,leg,6,closer,waiting
105,0303-238b7c04-aff2-417c-b7ab-895bcb3d54b9_28,0303-238b7c04-aff2-417c-b7ab-895bcb3d54b9_28_0,backrest,0,further,straight
106,0303-238b7c04-aff2-417c-b7ab-895bcb3d54b9_28,0303-238b7c04-aff2-417c-b7ab-895bcb3d54b9_28_1,backrest,1,further,straight
107,0303-238b7c04-aff2-417c-b7ab-895bcb3d54b9_28,0303-238b7c04-aff2-417c-b7ab-895bcb3d54b9_28_2,backrest,2,further,straight
108,0303-238b7c04-aff2-417c-b7ab-895bcb3d54b9_28,0303-238b7c04-aff2-417c-b7ab-895bcb3d54b9_28_3,backrest,3,further,straight
109,0303-238b7c04-aff2-417c-b7ab-895bcb3d54b9_28,0303-238b7c04-aff2-417c-b7ab-895bcb3d54b9_28_4,backrest,4,further,straight
110,0303-238b7c04-aff2-417c-b7ab-895bcb3d54b9_28,0303-238b7c04-aff2-417c-b7ab-895bcb3d54b9_28_5,backrest,5,further,straight
111,0303-238b7c04-aff2-417c-b7ab-895bcb3d54b9_28,0303-238b7c04-aff2-417c-b7ab-895bcb3d54b9_28_6,backrest,6,further,straight
112,0303-238b7c04-aff2-417c-b7ab-895bcb3d54b9_28,0303-238b7c04-aff2-417c-b7ab-895bcb3d54b9_28_7,backrest,7,further,straight
113,0303-238b7c04-aff2-417c-b7ab-895bcb3d54b9_28,0303-238b7c04-aff2-417c-b7ab-895bcb3d54b9_28_8,backrest,8,further,straight
114,0303-238b7c04-aff2-417c-b7ab-895bcb3d54b9_28,0303-238b7c04-aff2-417c-b7ab-895bcb3d54b9_28_9,backrest,9,further,straight
115,0303-238b7c04-aff2-417c-b7ab-895bcb3d54b9_28,0303-238b7c04-aff2-417c-b7ab-895bcb3d54b9_28_10,seat,10,further,straight
116,0303-238b7c04-aff2-417c-b7ab-895bcb3d54b9_28,0303-238b7c04-aff2-417c-b7ab-895bcb3d54b9_28_11,leg,11,further,straight
117,0303-238b7c04-aff2-417c-b7ab-895bcb3d54b9_28,0303-238b7c04-aff2-417c-b7ab-895bcb3d54b9_28_12,leg,12,further,straight
118,0303-238b7c04-aff2-417c-b7ab-895bcb3d54b9_28,0303-238b7c04-aff2-417c-b7ab-895bcb3d54b9_28_13,leg,13,further,straight
119,0303-238b7c04-aff2-417c-b7ab-895bcb3d54b9_28,0303-238b7c04-aff2-417c-b7ab-895bcb3d54b9_28_14,leg,14,further,straight
120,0303-238b7c04-aff2-417c-b7ab-895bcb3d54b9_28,0303-238b7c04-aff2-417c-b7ab-895bcb3d54b9_28_15,leg,15,further,straight
121,0303-238b7c04-aff2-417c-b7ab-895bcb3d54b9_28,0303-238b7c04-aff2-417c-b7ab-895bcb3d54b9_28_16,leg,16,further,straight
122,0303-238b7c04-aff2-417c-b7ab-895bcb3d54b9_6,0303-238b7c04-aff2-417c-b7ab-895bcb3d54b9_6_0,backrest,0,further,leather
123,0303-238b7c04-aff2-417c-b7ab-895bcb3d54b9_6,0303-238b7c04-aff2-417c-b7ab-895bcb3d54b9_6_1,backrest,1,further,leather
124,0303-238b7c04-aff2-417c-b7ab-895bcb3d54b9_6,0303-238b7c04-aff2-417c-b7ab-895bcb3d54b9_6_2,armrest,2,further,leather
125,0303-238b7c04-aff2-417c-b7ab-895bcb3d54b9_6,0303-238b7c04-aff2-417c-b7ab-895bcb3d54b9_6_3,armrest,3,further,leather
126,0303-238b7c04-aff2-417c-b7ab-895bcb3d54b9_6,0303-238b7c04-aff2-417c-b7ab-895bcb3d54b9_6_4,armrest,4,further,leather
127,0303-238b7c04-aff2-417c-b7ab-895bcb3d54b9_6,0303-238b7c04-aff2-417c-b7ab-895bcb3d54b9_6_5,armrest,5,further,leather
128,0303-238b7c04-aff2-417c-b7ab-895bcb3d54b9_6,0303-238b7c04-aff2-417c-b7ab-895bcb3d54b9_6_6,seat,6,further,leather
129,0303-238b7c04-aff2-417c-b7ab-895bcb3d54b9_6,0303-238b7c04-aff2-417c-b7ab-895bcb3d54b9_6_7,leg,7,further,leather
130,0303-238b7c04-aff2-417c-b7ab-895bcb3d54b9_6,0303-238b7c04-aff2-417c-b7ab-895bcb3d54b9_6_8,leg,8,further,leather
131,0303-238b7c04-aff2-417c-b7ab-895bcb3d54b9_6,0303-238b7c04-aff2-417c-b7ab-895bcb3d54b9_6_9,leg,9,further,leather
132,0303-238b7c04-aff2-417c-b7ab-895bcb3d54b9_6,0303-238b7c04-aff2-417c-b7ab-895bcb3d54b9_6_10,leg,10,further,leather
133,0647-bfcd78e5-085c-4631-a47c-0f3dadf71345_16,0647-bfcd78e5-085c-4631-a47c-0f3dadf71345_16_0,seat,0,closer,waiting
134,0647-bfcd78e5-085c-4631-a47c-0f3dadf71345_16,0647-bfcd78e5-085c-4631-a47c-0f3dadf71345_16_1,armrest,1,closer,waiting
135,0647-bfcd78e5-085c-4631-a47c-0f3dadf71345_16,0647-bfcd78e5-085c-4631-a47c-0f3dadf71345_16_2,leg,2,closer,waiting
136,0647-bfcd78e5-085c-4631-a47c-0f3dadf71345_16,0647-bfcd78e5-085c-4631-a47c-0f3dadf71345_16_3,armrest,3,closer,waiting
137,0647-bfcd78e5-085c-4631-a47c-0f3dadf71345_16,0647-bfcd78e5-085c-4631-a47c-0f3dadf71345_16_4,armrest,4,closer,waiting
138,0647-bfcd78e5-085c-4631-a47c-0f3dadf71345_16,0647-bfcd78e5-085c-4631-a47c-0f3dadf71345_16_5,backrest,5,closer,waiting
139,0647-bfcd78e5-085c-4631-a47c-0f3dadf71345_16,0647-bfcd78e5-085c-4631-a47c-0f3dadf71345_16_6,seat,6,closer,waiting
140,0647-bfcd78e5-085c-4631-a47c-0f3dadf71345_16,0647-bfcd78e5-085c-4631-a47c-0f3dadf71345_16_7,leg,7,closer,waiting
141,0647-bfcd78e5-085c-4631-a47c-0f3dadf71345_17,0647-bfcd78e5-085c-4631-a47c-0f3dadf71345_17_0,backrest,0,further,leather
142,0647-bfcd78e5-085c-4631-a47c-0f3dadf71345_17,0647-bfcd78e5-085c-4631-a47c-0f3dadf71345_17_1,seat,1,further,leather
143,0647-bfcd78e5-085c-4631-a47c-0f3dadf71345_17,0647-bfcd78e5-085c-4631-a47c-0f3dadf71345_17_2,armrest,2,further,leather
144,0647-bfcd78e5-085c-4631-a47c-0f3dadf71345_17,0647-bfcd78e5-085c-4631-a47c-0f3dadf71345_17_3,leg,3,further,leather
145,0647-bfcd78e5-085c-4631-a47c-0f3dadf71345_17,0647-bfcd78e5-085c-4631-a47c-0f3dadf71345_17_4,leg,4,further,leather
146,0647-bfcd78e5-085c-4631-a47c-0f3dadf71345_17,0647-bfcd78e5-085c-4631-a47c-0f3dadf71345_17_5,leg,5,further,leather
147,0647-bfcd78e5-085c-4631-a47c-0f3dadf71345_17,0647-bfcd78e5-085c-4631-a47c-0f3dadf71345_17_6,armrest,6,further,leather
148,0647-bfcd78e5-085c-4631-a47c-0f3dadf71345_28,0647-bfcd78e5-085c-4631-a47c-0f3dadf71345_28_0,seat,0,closer,straight
149,0647-bfcd78e5-085c-4631-a47c-0f3dadf71345_28,0647-bfcd78e5-085c-4631-a47c-0f3dadf71345_28_1,seat,1,closer,straight
150,0647-bfcd78e5-085c-4631-a47c-0f3dadf71345_28,0647-bfcd78e5-085c-4631-a47c-0f3dadf71345_28_2,backrest,2,closer,straight
151,0647-bfcd78e5-085c-4631-a47c-0f3dadf71345_28,0647-bfcd78e5-085c-4631-a47c-0f3dadf71345_28_3,backrest,3,closer,straight
152,0647-bfcd78e5-085c-4631-a47c-0f3dadf71345_28,0647-bfcd78e5-085c-4631-a47c-0f3dadf71345_28_4,leg,4,closer,straight
153,0647-bfcd78e5-085c-4631-a47c-0f3dadf71345_28,0647-bfcd78e5-085c-4631-a47c-0f3dadf71345_28_5,leg,5,closer,straight
154,0647-bfcd78e5-085c-4631-a47c-0f3dadf71345_28,0647-bfcd78e5-085c-4631-a47c-0f3dadf71345_28_6,leg,6,closer,straight
155,0647-bfcd78e5-085c-4631-a47c-0f3dadf71345_28,0647-bfcd78e5-085c-4631-a47c-0f3dadf71345_28_7,backrest,7,closer,straight
156,0647-bfcd78e5-085c-4631-a47c-0f3dadf71345_28,0647-bfcd78e5-085c-4631-a47c-0f3dadf71345_28_8,backrest,8,closer,straight
157,0647-bfcd78e5-085c-4631-a47c-0f3dadf71345_28,0647-bfcd78e5-085c-4631-a47c-0f3dadf71345_28_9,backrest,9,closer,straight
158,0647-bfcd78e5-085c-4631-a47c-0f3dadf71345_30,0647-bfcd78e5-085c-4631-a47c-0f3dadf71345_30_0,seat,0,closer,inlay
159,0647-bfcd78e5-085c-4631-a47c-0f3dadf71345_30,0647-bfcd78e5-085c-4631-a47c-0f3dadf71345_30_1,backrest,1,closer,inlay
160,0647-bfcd78e5-085c-4631-a47c-0f3dadf71345_30,0647-bfcd78e5-085c-4631-a47c-0f3dadf71345_30_2,backrest,2,closer,inlay
161,0647-bfcd78e5-085c-4631-a47c-0f3dadf71345_30,0647-bfcd78e5-085c-4631-a47c-0f3dadf71345_30_3,backrest,3,closer,inlay
162,0647-bfcd78e5-085c-4631-a47c-0f3dadf71345_30,0647-bfcd78e5-085c-4631-a47c-0f3dadf71345_30_4,leg,4,closer,inlay
163,0647-bfcd78e5-085c-4631-a47c-0f3dadf71345_30,0647-bfcd78e5-085c-4631-a47c-0f3dadf71345_30_5,leg,5,closer,inlay
164,0647-bfcd78e5-085c-4631-a47c-0f3dadf71345_30,0647-bfcd78e5-085c-4631-a47c-0f3dadf71345_30_6,leg,6,closer,inlay
165,0647-bfcd78e5-085c-4631-a47c-0f3dadf71345_30,0647-bfcd78e5-085c-4631-a47c-0f3dadf71345_30_7,backrest,7,closer,inlay
166,0647-bfcd78e5-085c-4631-a47c-0f3dadf71345_30,0647-bfcd78e5-085c-4631-a47c-0f3dadf71345_30_8,backrest,8,closer,inlay
167,0647-bfcd78e5-085c-4631-a47c-0f3dadf71345_30,0647-bfcd78e5-085c-4631-a47c-0f3dadf71345_30_9,backrest,9,closer,inlay
168,0773-7fd737ec-3498-4e32-b097-7d7f0b9a0af8_21,0773-7fd737ec-3498-4e32-b097-7d7f0b9a0af8_21_0,seat,0,closer,inlay
169,0773-7fd737ec-3498-4e32-b097-7d7f0b9a0af8_21,0773-7fd737ec-3498-4e32-b097-7d7f0b9a0af8_21_1,seat,1,closer,inlay
170,0773-7fd737ec-3498-4e32-b097-7d7f0b9a0af8_21,0773-7fd737ec-3498-4e32-b097-7d7f0b9a0af8_21_2,seat,2,closer,inlay
